"http://www.appannie.com/apps/ios/top/japan/education/?device=iphone"
#,free_title,free_publisher,paid_title,paid_publisher,sales_title,sales_publisher
1,ターゲットの友　英単語選手権で全国ランキングを競い合おう！,"Obunsha Co.,Ltd.",本気で英会話！ペラペラ英語　英単語・リスニング・TOEICの学習にも！,appArray Inc.,続く英語学習 えいぽんたん！,"Drecom Co., Ltd."
39,Vroom Driving - Kids drive into picture book!,"Interspace Co.,Ltd.",Dr. Panda's Handyman,TribePlay,All-You-Can-Read! World's picture books at your fingertips! “EhonKids”,MOONBEAMS Inc.
40,waochi!,WAO CORPORATION,Hiragana - Japanese Lesson for iPhone,Gloding Inc.,Vroom Driving - Kids drive into picture book!,"Interspace Co.,Ltd."
41,RyeBooks: The Monkeys Who Tried to Catch the Moon - by Rye Studio™,lv miao,CHILD APP 8th : Study - Shape,CHILD APP project,「すらすら！ずけいあそび」おもしろいあそびで、図形の感覚を育てます,NCSOFT
42,しゃべる図鑑!? 絵本やゲームより楽しい教育・知育アプリ「おしゃべりずかん」-泣き止み、夜泣き防止。幼児から子供（こども）までひらがな、英語も学習。知育が無料の図鑑アプリ-,Nagisa-inc.jp.,Toca Train,Toca Boca AB,Toca Hair Salon Me,Toca Boca AB
43,Disney Princess Palace Pets,Disney,小学２年生かんじ：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",パパ、読んで！おやすみ前のおとえほん vol.1 ～読み聞かせ世界昔話～,"Excite Japan Co.,Ltd."
44,Ariel's Musical Surprise,Disney,Plants by Tinybop,Tinybop Inc.,Me Books,Me Books
45,"Math Animations (Grades 1-8): Includes numbers, decimals, fractions, addition, subtraction, multiplication, division, geometry(Perimeter and Area of parallelograms, triangles, trapezoids,...) measurement, algebra. Elementary and Middle School Mathematics",Xicheng Dong,Sago Mini Monsters,Sago Sago,Learn Times Table fast with Math Ninja,Fantamstick
46,Build A Train Lite,Playtend Apps LLP,Petting Zoo - Animal Animations,Fox & Sheep,BabyTV Mobile,"BabyTV, FOX International Channels"
47,Korean Handwriting  Lite,HyongA,Toca Hair Salon,Toca Boca AB,Cars 2 World Grand Prix Read and Race,Disney
48,Animal Eggs - Educational games for toddler,monois Inc.,dlive,FlatbitStudio,子供絵本アプリ タッチ！うごくうたえほん＋,XING INC.
49,Princess Spa - Girls Games,Hugs N Hearts,Dr. Panda's Bus Driver,TribePlay,Toca Lab,Toca Boca AB
50,Kid's jewel maker,monois Inc.,Sago Mini Forest Flyer,Sago Sago,帝塚山学院幼稚園×ワオっち！やさいをつくろう,WAO CORPORATION
51,Lunch Box Maker : School Food!,Maker Labs,Toca Pet Doctor,Toca Boca AB,"Geo Challenge – Flags, Maps and Geography Learning Game for Kids",XING INC.
52,おやすみ前のおとえほん　無料版　～読み聞かせ昔話～,"Excite Japan Co.,Ltd.",Toddler Maze 123 Pocket - Fun learning with Children animated puzzle game,GiggleUp Kids Apps And Educational Games Pty Ltd,「すらすら！かずあそび」お子さまが数字とふれあう初めの一歩、１から１０までの数字と遊びます,NCSOFT
53,Chuggington Traintastic Adventures Free – A Train Set Game for Kids,Budge Studios,"Math Animations (Grades 1-8): Includes numbers, decimals, fractions, addition, subtraction, multiplication, division, geometry(Perimeter and Area of parallelograms, triangles, trapezoids,...) measurement, algebra. Elementary and Middle School Mathematics.",Xicheng Dong,"Space 1999 - Matching, Stickers and Colors Games for Kids",MagisterApp
54,Disney Princess: Story Theater Free,Disney,きせかえしよう〜キッズもオシャレにコーディネート！〜,WAO CORPORATION,rhythmonstage,"SMART EDUCATION, LTD."
55,The Very Hungry Caterpillar™ & Friends – Play & Explore Free,StoryToys Entertainment Limited,小学２年生かん字ドリル　楽しく学べる漢字シリーズ for iPhone,Gloding Inc.,Toca Builders,Toca Boca AB
56,Toca Kitchen Monsters,Toca Boca AB,小学６年生漢字：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",もしもし仮面ライダー鎧武/ガイム,TV Asahi Corporation
57,Crazy Dentist™,Eric Chang,Little Fox Music Box – Kids songs – Sing along,Fox & Sheep,いないいないばあ　無料版,"NEXTBOOK, Inc."
58,Nail & Foot Salon,Hugs N Hearts,Quick Math - Multiplication Table & Arithmetic Game,Shiny Things,The Lion King: Timon's Tale,Disney
59,いろんなかお,POCKE App,トム&ジェリーと英語で遊ぼう,"Ahwin Co., ltd.",Gocco Zoo - Creative Paint & Play for Kids,"SMART EDUCATION, LTD."
60,いないいないばあ　無料版,"NEXTBOOK, Inc.",The Lion King: Timon's Tale,Disney,Dr. Panda's Restaurant 2,TribePlay
61,Gocco Doodle - Kids Go Draw & Share Fun Doodles,"SMART EDUCATION, LTD.",Montessori Numberland HD,Les Trois Elles Interactive,Kid's Doctor,"ZAPPALLAS, INC."
62,Talking Baby Hippo,Out Fit 7 Ltd.,Alpine Train 3D - top scenic railroad simulator game for kids,Jeremy Horton,Toca Store,Toca Boca AB
63,Crazy Hospital!,Bluebear Technologies Ltd.,Fiete,Wolfgang Schmitz,Sago Mini Pet Cafe,Sago Sago
64,Waochi!English!School!,WAO CORPORATION,"AB Math - fun games for kids and the family : addition, subtraction, multiplication, times tables, numbers",Nicolas Lehovetzki,Puzzle For Toddlers Free.,Tailmind
65,Playing with sand - Funny educational App for Baby & Infant,monois Inc.,Kids Toy Car Game Simulator,Galante sp. z o.o.,Machine World,Trino AB
66,"Free Teach me Princesses: discover pink pony’s, fairy tales and the magical princess world",Banana Apps Kids - best top fun games for 1 school 2 boys 3 baby 4 girls and 5 mini toddlers leuke spelletjes voor jongens meisjes kinderspelletjes,"Build and Play 3D - Rockets, Helicopters, Submarines and More",Croco Studio,Dr. Panda's Handyman,TribePlay
67,Toca Tailor Fairy Tales,Toca Boca AB,soundMkr,3L Coding,Montessori Numberland HD,Les Trois Elles Interactive
68,「こどものうた」親子で歌って踊ろう！！２〜５才のお子様とご一緒に楽しもう！,"NEXTBOOK, Inc.",Twinkl Alphabet Cards & Letter Formation (British Phonics & Alphabet Letter Formation),Twinkl Limited,Toca Train,Toca Boca AB
69,Gocco Zoo - Creative Paint & Play for Kids,"SMART EDUCATION, LTD.",I observe with Louie!,Millimages,小学２年生かんじ：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc."
70,Hello Kitty Connect the Dots,sanrio_wave,Barefoot World Atlas,Touch Press,Doc McStuffins Paint and Play,Disney
71,帝塚山学院幼稚園×ワオっち！やさいをつくろう,WAO CORPORATION,CHILD APP 2th : Vehicle - Car,CHILD APP project,Gocco ZomBeat - Drum & Bass Rhythm Game,"SMART EDUCATION, LTD."
72,Cupcake Mania - Cooking Games,Maker Labs,Doc McStuffins Paint and Play,Disney,"Kids Car, Trucks & Construction Vehicles - Puzzles for Toddlers",Pixel Envision
73,Nanzoo Clock - Learning the clock and time,Takafumi Sasaki,CHILD APP 9th : Study - Remember,CHILD APP project,My Little Note,tokentoken
74,Our Body by BabyBus,Bi Hong Lin,Monkey Preschool Lunchbox,THUP Games,Strawberry Shortcake Puppy Palace – Pet Salon & Dress Up,Budge Studios
75,Laugh & Learn™ Animal Sounds for Baby,Fisher-Price,ずけいこうじょう　図形感覚を楽しく育む子供向け図形遊びアプリ,WAO CORPORATION,CHILD APP 10th : Play - Arcade,CHILD APP project
76,クラシックのおもちゃ箱,ソネットエンタテインメント株式会社,ママ、読んで！おやすみ前のおとえほん vol.4 ～読み聞かせ日本昔話～,"Excite Japan Co.,Ltd.",Petting Zoo - Animal Animations,Fox & Sheep
77,My Graffiti - BabyBus,Bi Hong Lin,Dinosaurs 360 Gold,YED28,Toca Hair Salon,Toca Boca AB
78,Learn Times Table fast with Math Ninja,Fantamstick,My Little Rhythm,tokentoken,Disney Princess: Story Theater Free,Disney
79,Chuggington Puzzle Stations! - Educational Jigsaw Puzzle Game for Kids,Budge Studios,Dr. Panda's Restaurant,TribePlay,Dr. Panda's Bus Driver,TribePlay
80,LEGO® DUPLO® Train,The LEGO Group,Ocean - Animal Adventures for Kids,Fox & Sheep,CHILD APP 7th : Play - Play shopping,CHILD APP project
81,Buzz Me! Kids Toy Phone Free - All in One children activity center,GiggleUp Kids Apps And Educational Games Pty Ltd,ママ、読んで！おやすみ前のおとえほん vol.2 〜読み聞かせ日本昔話〜 for iPhone,"Excite Japan Co.,Ltd.",Sago Mini Forest Flyer,Sago Sago
82,Preschool Kids How Many Boxes?,Fantamstick,SpongeBob Tickler,Nickelodeon,Rhythmehon plus,"SMART EDUCATION, LTD."
83,Celebrity Hair Salon™,iGirl Entertainment,Mickey Mouse Clubhouse: Mickey's Wildlife Count Along,Disney,たのしい絵本(えほん)アプリ【ブックる】,bitwalker
84,Handwriting worksheets for Children: Learn to write the letters of the alphabet in script and cursive,Escaleto UG (haftungsbeschraenkt),小学３年生漢字：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",Toca Pet Doctor,Toca Boca AB
85,「北風と太陽」親子でさわって面白い子供向け絵本アプリ！読み聞かせにもおすすめ！,MOONBEAMS Inc.,Dr. Panda's Daycare,TribePlay,waochi!,WAO CORPORATION
86,Toddler Maze 123 Pocket Free - Fun learning with Children animated puzzle game,GiggleUp Kids Apps And Educational Games Pty Ltd,Montessori Math: Add & Subtract Large Numbers,Les Trois Elles Interactive,Chuggington Puzzle Stations! - Educational Jigsaw Puzzle Game for Kids,Budge Studios
87,The Greengrocer - Coloring and Puzzles for Kids,MagisterApp,親子英会話 Powered by GreenLeaf,GREEN LEAF K.K.,ママ、読んで！おやすみ前のおとえほん vol.4 ～読み聞かせ日本昔話～,"Excite Japan Co.,Ltd."
88,My Numbers by BabyBus,BABYBUS,TallyTots Counting - Learn the 123s With Numbers & Shapes - Count & Sing Along From 1 to 100 - Fun Educational Games for Preschool Kids,Spinlight Studio,CHILD APP 5th : Drive - Excavator,CHILD APP project
89,All-You-Can-Read! World's picture books at your fingertips! “EhonKids”,MOONBEAMS Inc.,小学生手書き漢字ドリルDX - はんぷく学習シリーズ,Gakko Net Inc.,Little Fox Music Box – Kids songs – Sing along,Fox & Sheep
90,ひとりでできたよ！ ミラクルぽんっ！ -できた！を育むこども向け知育ジグソーパズル。親子で楽しめる人気キャラクタ大集合-,BB Softservice corp.,Dr. Panda’s Hospital,TribePlay,小学生かんじ　全学年無料版：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc."
91,Puzzle For Toddlers Free.,Tailmind,"Intro to Math, by Montessorium","Montessorium, LLC",Alpine Train 3D - top scenic railroad simulator game for kids,Jeremy Horton
92,Safety Series By BabyBus,BABYBUS,Starfall ABCs,Starfall Education,小学６年生漢字：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc."
93,Dora-Kids × SHUFFLE FUN,"Shogakukan-Shueisha Productions Co., Ltd.",パパ、読んで！おやすみ前のおとえほん vol.3 ～読み聞かせ世界昔話～,"Excite Japan Co.,Ltd.","Build and Play 3D - Rockets, Helicopters, Submarines and More",Croco Studio
94,おとぎふぉん - こどものイヤイヤ対策！昔話のキャラクターが電話で応援,colorful LLP,Dr. Panda's Airport,TribePlay,I observe with Louie!,Millimages
95,Happy Paint - Funny educational App for Baby & Infant,monois Inc.,えいごであそぼプラネット うたってあそぼ,"Obunsha Co.,Ltd.",Disney Puzzle Packs,Disney
96,親子で遊ぼう！くるまdeブーブー！,BlueArt,Alphabet for iPhone,HARASHOW Interactive,Nursery Rhymes - Beautiful lullabies for your kids,Lisbon Labs
97,Disney Villains Challenge,Disney,Kanji Workbook for 3rd grade student for iPhone,Gloding Inc.,Toca Tailor,Toca Boca AB
98,Airlines go-round - Funny educational App for Baby & Infant,monois Inc.,Dr. Dino - Educational Doctor Games for Kids & Toddlers Education,Joy Preschool Game,Kid's Dinosaur Jigsaw Puzzles - educational children's game for toddler and preschool boys and girls,Espace Pty Ltd
99,Children's Environmental Education Series by BabyBus,BABYBUS,Planes: Storybook Deluxe,Disney,Plants by Tinybop,Tinybop Inc.
100,Kid's Dinosaur Jigsaw Puzzles - educational children's game for toddler and preschool boys and girls,Espace Pty Ltd,Lola's ABC Party,BeiZ,Dora-Kids × SHUFFLE FUN,"Shogakukan-Shueisha Productions Co., Ltd."

"http://www.appannie.com/apps/ios/top/japan/education/?device=ipad"
#,free_title,free_publisher,paid_title,paid_publisher,sales_title,sales_publisher
1,漢字検定・漢検漢字トレーニング,Gakko Net Inc.,Let's do pretend!! Hamburger shop! - Work Experience-Based Brain Training App,KidsStar Inc.,Newton International Edition,Newton Inc. Apps.
2,はたらくくるまゴーゴー　働く車でお仕事ドライブ！幼児・子供向け知育アプリ,WAO CORPORATION,お弁当をつくろう！ママごっこ－お仕事体験知育アプリ,KidsStar Inc.,Children's Books Library in the Forest,I-FREEK INC.
3,iTunes U,Apple,Real英会話,"LT Box Co., Ltd.","Read Unlimitedly! Book, Music & Game - Kids'n Books (Educational Stories for kids)","SMART EDUCATION, LTD."
4,Duolingo - Learn Languages for Free,Duolingo,Set up the airplane parts! - Work Experience-Based Brain Training App,KidsStar Inc.,Choujimaku,SOURCENEXT CORPORATION
5,ninja math for 1st graders,Fantamstick,Let's do pretend Ice-cream shop! - Work Experience-Based Brain Training App,KidsStar Inc.,「おかあさんといっしょ・みいつけた」の赤ちゃん・子供向け知育アプリ　リズムあそび,"SMART EDUCATION, LTD."
6,Newton International Edition,Newton Inc. Apps.,日本地理クイズ 楽しく学べる教材シリーズ,Gloding Inc.,CNN ENGLISH EXPRESS,"Asahipress Co., Ltd."
7,「おかあさんといっしょ・みいつけた」の赤ちゃん・子供向け知育アプリ　リズムあそび,"SMART EDUCATION, LTD.",Toca Hair Salon 2,Toca Boca AB,LoiLoNote,LoiLo inc
8,Touch and Move! Service Vehicles (for young children) - Educational Apps Free,Atech inc.,Let's pretend!! a Cookie House! - Work Experience-Based Brain Training App,KidsStar Inc.,iKnow!,Cerego
9,Star Chart,Feel Great Publishing Limited,Dr. Panda's Toy Cars,TribePlay,LEC東京リーガルマインド　本棚アプリ,TOKYO LEGAL MIND K.K.
10,Area of Figures,"Brainingcamp, LLC",TEDICT - Learn English with TED,CoCO SWING,ninja math for 1st graders,Fantamstick
11,Gocco Fire Truck - 3D Games for Tiny Firefighters,"SMART EDUCATION, LTD.",Dr. Panda's Restaurant 2,TribePlay,Real英会話,"LT Box Co., Ltd."
12,小学生かんじ　全学年無料版：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",Star Walk™ HD - 5 Stars Astronomy Guide,Vito Technology Inc.,小学生かんじ　全学年無料版：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc."
13,Japanese English Dictionary Free 英和辞典,Bravolol Limited,Sago Mini Space Explorer,Sago Sago,「おやこでリズムえほんDX」　赤ちゃん・幼児・子ども向けの音楽アプリ 　教育・知育,"SMART EDUCATION, LTD."
14,無料知育ゲームアプリ｜なりきり!!ごっこランド,KidsStar Inc.,すぐに話せる英会話233～基本編～【添削機能つき】,PLAYSQUARE INC.,Rhythm Tap,"SMART EDUCATION, LTD."
15,Where is it? - Learning Characters,"SUN&MOON,inc.",わかる！算数 小学３年【上】 for iPad,がくげい,子供向けゲーム「おやこでリズムタッププラス」！赤ちゃん・幼児の音楽げーむ 　教育・知育アプリ,"SMART EDUCATION, LTD."
16,"Read Unlimitedly! Book, Music & Game - Kids'n Books (Educational Stories for kids)","SMART EDUCATION, LTD.",日本地図マスター 楽しく学べる教材シリーズ,Gloding Inc.,タッチ！あそベビー　〜0歳から遊べるタッチ遊びアプリ〜,WAO CORPORATION
17,Eテレ「タップあそび」 幼児・子供向けの知育教育音楽ゲームアプリ,"SMART EDUCATION, LTD.",Hokusai Manga HD,学参ドットコム(株式会社ブックモールジャパン),Star Chart,Feel Great Publishing Limited
18,TED,TED Conferences,The Very Hungry Caterpillar™ & Friends – Play & Explore,StoryToys Entertainment Limited,Read with Biff Chip & Kipper. The complete series: All 48 books.,Gazoob
19,OKpanda英会話,OKpanda Inc.,「すらすら！ずけいあそび」おもしろいあそびで、図形の感覚を育てます,NCSOFT,Let's do pretend!! Hamburger shop! - Work Experience-Based Brain Training App,KidsStar Inc.
20,Children's Books Library in the Forest,I-FREEK INC.,Dr. Panda's Supermarket,TribePlay,TOEIC(R)テスト スーパー模試 600問 for iPad（アルク）,"ALC PRESS, INC."
21,Night and Day by BabyBus,BABYBUS,Kanji Workbook for 3rd grade student,Gloding Inc.,DropTalk HD Free,"HMDT Co., Ltd."
22,My Little Gourmet-BabyBus,BABYBUS,I see! Math1,がくげい,こどもゆびドリル：ひらがな、カタカナ、かず、アルファベットがこれ１つで学べます！,"NEXTBOOK, Inc."
23,しまじろう園,Benesse Corporation,Baby's Health HD by BabyBus,BABYBUS,ケアマネジャー試験一問一答＋模擬問題2014,"Fasteps Co., Ltd."
24,タッチ！あそベビー　〜0歳から遊べるタッチ遊びアプリ〜,WAO CORPORATION,"YodelOh Math Mountain - Learning Drills for Addition, Subtraction, Multiplication and Division - Math Games for Kids",Spinlight Studio,はたらくくるまゴーゴー　働く車でお仕事ドライブ！幼児・子供向け知育アプリ,WAO CORPORATION
25,Adobe Inspire,Adobe,"Geo Challenge – Flags, Maps and Geography Learning Game for Kids",XING INC.,Toca Hair Salon 2,Toca Boca AB
26,TOEIC重要英単語,HuMinghua,7-STEP英会話自動暗記: Let's study speaking and listening skills with phrase & idiom,Woori Kim,お弁当をつくろう！ママごっこ－お仕事体験知育アプリ,KidsStar Inc.
27,究極英単語,Yibei Inc,"My First 1,000 Words - Flashcards and Games by Alligator Apps",Innovative Mobile Apps,Hokusai Manga HD,学参ドットコム(株式会社ブックモールジャパン)
28,「おやこでリズムえほんDX」　赤ちゃん・幼児・子ども向けの音楽アプリ 　教育・知育,"SMART EDUCATION, LTD.",Toca Town,Toca Boca AB,語学プレーヤー〈NHK出版〉,NHK Publishing
29,読めないと恥ずかしい大人の常識漢字1000,Gakko Net Inc.,Interactive Telling Time - Learning to tell time is fun,GiggleUp Kids Apps And Educational Games Pty Ltd,Set up the airplane parts! - Work Experience-Based Brain Training App,KidsStar Inc.
30,英語力UP 英単8000語,mychjp.com,かなもじ,HARASHOW Interactive,トーキングエイド for iPad テキスト入力版STD,U-PLUS Corporation
31,こどもゆびドリル：ひらがな、カタカナ、かず、アルファベットがこれ１つで学べます！,"NEXTBOOK, Inc.",English Grammar in Use Activities HD,Cambridge University Press,Let's do pretend Ice-cream shop! - Work Experience-Based Brain Training App,KidsStar Inc.
32,Car Toys : Free App for Children and Toddlers,monois Inc.,すぐに話せる英会話～ビジネス編～【添削機能つき】,PLAYSQUARE INC.,Moving books jajajajan（Japanese language version）,"FORii, lnc."
33,ListeningDrill-Free : Foreign Languages Listening Practice Player - TED/Audiobooks/Audio/Video/Movie/MP3/Subtitles/AB Repeat/Vocabulary(Word)/Dictionary,Neointro,ライブ英会話,Waterbear Soft inc.,日本地理クイズ 楽しく学べる教材シリーズ,Gloding Inc.
34,Moving books jajajajan（Japanese language version）,"FORii, lnc.",Hiragana - Japanese Lesson,Gloding Inc.,究極英単語,Yibei Inc
35,子供向けゲーム「おやこでリズムタッププラス」！赤ちゃん・幼児の音楽げーむ 　教育・知育アプリ,"SMART EDUCATION, LTD.",Duckie Deck Trash Toys,Duckie Deck Development,Dr. Panda's Toy Cars,TribePlay
36,"Math Animations (Grades 1-8): Includes numbers, decimals, fractions, addition, subtraction, multiplication, division, geometry(Perimeter and Area of parallelograms, triangles, trapezoids,...) measurement, algebra. Elementary and Middle School Mathematics",Xicheng Dong,Big Baby,Big Ice Cream Pty Ltd,続く英語学習 えいぽんたん！,"Drecom Co., Ltd."
37,小学生手書き漢字ドリル1006 - はんぷく学習シリーズ,Gakko Net Inc.,時計の学習HD,hirofumi tanaka,すぐに話せる英会話233～基本編～【添削機能つき】,PLAYSQUARE INC.
38,World Map Puzzle for Kids,Gloding Inc.,小学２年生かん字ドリル　楽しく学べる漢字シリーズ,Gloding Inc.,Let's pretend!! a Cookie House! - Work Experience-Based Brain Training App,KidsStar Inc.
39,Let's play with the trains! for iPad,Atech inc.,Roleplay by BabyBus,BABYBUS,Star Walk™ HD - 5 Stars Astronomy Guide,Vito Technology Inc.
40,英検予想問題ドリル,iEdu Apps,小学１年生かんじ：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",タッチ！ことばランド　2歳から遊べる言葉を育む子供向けアプリ,WAO CORPORATION
41,Angles? - Let's solve figures problems!,Gakko Net Inc.,もう一度！中学英文法 (旺文社)【添削機能つき】,PLAYSQUARE INC.,I see! Math1,がくげい
42,Japanese-hiragana,hk2006,"Intro to Math, by Montessorium","Montessorium, LLC",中学生用学習アプリ　NEW HORIZON 2－リスニング,"TOKYO SHOSEKI CO.,LTD."
43,無料3才からの知育パズル｜能力向上に役立つパズル＆テイルズ,KidsStar Inc.,TOEIC(R)テスト スーパー模試 600問 for iPad（アルク）,"ALC PRESS, INC.",Sago Mini Space Explorer,Sago Sago
44,CHALK_BOARD,"conol, Inc.",わかる！算数 小学３年【下】 for iPad,がくげい,ビジョントレーニングII for iPad,LEDEX
45,虫食い漢字クイズ300 - はんぷく学習シリーズ,Gakko Net Inc.,Toddler Counting 123,GiggleUp Kids Apps And Educational Games Pty Ltd,もう一度！中学英文法 (旺文社)【添削機能つき】,PLAYSQUARE INC.
46,Touch and Born! Moving paint for iPad,Atech inc.,Picture Flash Cards.,T.Hirose,Juku JLPT Unlimited,Fuwafuwa Inc
47,タッチ！ことばランド　2歳から遊べる言葉を育む子供向けアプリ,WAO CORPORATION,小２算数チャレンジ　楽しく学べる算数シリーズ,Gloding Inc.,The Very Hungry Caterpillar™ & Friends – Play & Explore,StoryToys Entertainment Limited
48,GhostCallDX,MediaActive Inc.,The Human Body by Tinybop,Tinybop Inc.,かなもじ,HARASHOW Interactive
49,Mr.shape's TouchCard,KOO-KI,ローマじチャレンジ,Gloding Inc.,Kids' Brain Balancer for iPad,LEDEX
50,しまじろうTV,Benesse Corporation,すぐに話せる英会話233～入門編～【添削機能つき】,PLAYSQUARE INC.,TEDICT - Learn English with TED,CoCO SWING
51,"English Radio - IELTS TOEFL TOEIC IBT Speaking & Listening, Make friends to Teach & Learn Foreign Languages",Liang Yuan,わかる！算数 小学２年 for iPad,がくげい,パパドリルのお受験ずかん,"Tryon co.,Ltd."
52,英検過去問チェック【iPad版】,Eiken Foundation of Japan,ねぇ、きいて。,Toriken,わかる！算数 小学３年【上】 for iPad,がくげい
53,Sago Mini Ocean Swimmer,Sago Sago,Dr. Panda's Home,TribePlay,Aviation Exam,Aviationexam s.r.o.
54,"Learn French, Spanish, Portuguese and other languages for free with busuu",Busuu Limited,小学３年生漢字：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",数学1＋A,"TOKYO SHOSEKI CO.,LTD."
55,Rhythmehon,"SMART EDUCATION, LTD.",英語聴覚セラピー　奇跡の音【iPad版】,Sumie Murakami,おやこで　たのしむ　どうよう・どうわ,Samsung Publishing Ltd.
56,MAU M&L Natural History,Musashino Art University,Toca House,Toca Boca AB,日本地図マスター 楽しく学べる教材シリーズ,Gloding Inc.
57,Touch Train 3D free - Funny educational App for Baby & Infant,monois Inc.,「すらすら！かずあそび」お子さまが数字とふれあう初めの一歩、１から１０までの数字と遊びます,NCSOFT,すぐに話せる英会話～ビジネス編～【添削機能つき】,PLAYSQUARE INC.
58,時計が読める! こども時計 for iPad - 知育アプリで遊ぼう 子ども・幼児向け無料アプリ,monois Inc.,小１さんすうチャレンジ　楽しく学べる算数シリーズ,Gloding Inc.,Eテレ「タップあそび」 幼児・子供向けの知育教育音楽ゲームアプリ,"SMART EDUCATION, LTD."
59,Rhythmehon plus,"SMART EDUCATION, LTD.",Japanese Picture Matching Card Game by NIHONGODEASOBO,"Obunsha Co.,Ltd.",OKpanda英会話,OKpanda Inc.
60,おやこでいっしょに！　まねっこえいご,Benesse Corporation,Mickey Mouse Clubhouse: Mickey's Wildlife Count Along,Disney,Mr.shape's TouchCard,KOO-KI
61,週刊 そーなんだ！科学編,"media mobile Co.,Ltd.",Clockwork Puzzle Full - Learn to Tell Time,Keaton.com,「すらすら！ずけいあそび」おもしろいあそびで、図形の感覚を育てます,NCSOFT
62,早射ち英文法,Gakko Net Inc.,Busy Shapes,Seven Academy,お受験パパのおはなしドリル,"Tryon co.,Ltd."
63,Imagination Zoo,Benesse Corporation,Petting Zoo - Animal Animations,Fox & Sheep,角川ビギナーズクラシックス 古典名作を楽しむ,"Imagineer Co.,Ltd."
64,RyeBooks: The Monkeys Who Tried to Catch the Moon - by Rye Studio™,lv miao,かず：こども ゆびドリル,"NEXTBOOK, Inc.",Dr. Panda's Supermarket,TribePlay
65,Gocco Doodle - Kids Go Draw & Share Fun Doodles,"SMART EDUCATION, LTD.",毎日1分ひと言韓国語,NHK SERVICE CENTER,数研出版　デジタル本棚アプリ,Suken Shuppan K.K.
66,日本地図パズル 楽しく学べる教材シリーズ,Gloding Inc.,TOEIC®テスト文法640問2,"LATIKA, Inc.",DropTalk HD,"HMDT Co., Ltd."
67,1万2千語　英単語・えいたん,Tosymsoft,中学生用学習アプリ　NEW HORIZON 2－リスニング,"TOKYO SHOSEKI CO.,LTD.",Nemo French Complete,Nemo Apps LLC
68,VOA - Learn English,Liang Yuan,小学２年生かんじ：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",Nemo Italian Complete,Nemo Apps LLC
69,"Hi, Shimajiro!",Benesse Corporation,Funny Contrasts,Bi Hong Lin,Learn French - WordPower,"Innovative Language Learning, LLC"
70,Doodle Sounds for iPad,"PICxPIC, Inc.",右脳鍛錬ウノタン 七田式 速読トレーニングHD,BB Softservice corp.,Kanji Workbook for 3rd grade student,Gloding Inc.
71,Choujimaku,SOURCENEXT CORPORATION,Sago Mini Doodlecast,Sago Sago,Geometry Pad,Bytes Arithmetic LLC
72,小学生こくご　言葉と文：ゆびドリル（国語学習アプリ）,"NEXTBOOK, Inc.",Katakana - Japanese Lesson,Gloding Inc.,わかる！算数 小学２年 for iPad,がくげい
73,中学生漢字(書き取り編),Gakko Net Inc.,Addition・Subtraction,"mmc Co., Ltd.",The Official Guide for GMAT® Review - 13th Edition,"gWhiz, LLC"
74,Let's Play with Math!,Makoto Ishida,Pupil Life Manager,p < .05,"YodelOh Math Mountain - Learning Drills for Addition, Subtraction, Multiplication and Division - Math Games for Kids",Spinlight Studio
75,shodo,hap Inc.,小学４年生漢字ドリル　楽しく学べる漢字シリーズ,Gloding Inc.,"Geo Challenge – Flags, Maps and Geography Learning Game for Kids",XING INC.
76,Seek & Find - Hidden Objects Puzzle for Kids,Kids Games Club by TabTale,Toca Cars,Toca Boca AB,NHKラジオ実践ビジネス英語,DENTSU INC.
77,"Learn ABC - VOA,PBS update everyday",learnabc.com.au,はじめる!!タイピング,MiRAiCA Inc.,Rhythmehon plus,"SMART EDUCATION, LTD."
78,MyScript MathPad - Handwriting LaTeX generator,Vision Objects,Let's Japanese,Qualia Systems Inc.,BabyTV Mobile HD,"BabyTV, FOX International Channels"
79,Safety Series By BabyBus,BABYBUS,Piiig Labs: Science Experiments for Kids in Elementary School and Kindergarten,Piiig Inc.,Toca Town,Toca Boca AB
80,小学生の漢字 - その字は習った？,Keiichi Okamoto,Music Superheroes - Learn music while having fun,Lisbon Labs,Japanese Picture Matching Card Game by NIHONGODEASOBO,"Obunsha Co.,Ltd."
81,手書き四字熟語1000,Gakko Net Inc.,現代普通話聲、韻母發音動畫   Mandarin Pronunciation Basics: Mastering the Initials and Finals,"Modern Educational Research Society, LTD",Interactive Telling Time - Learning to tell time is fun,GiggleUp Kids Apps And Educational Games Pty Ltd
82,アプリひろば,Benesse Corporation,DragonBox Elements,WeWantToKnow AS,AnkiMobile Flashcards,Damien Elmes
